School Name	Address	lat	long	rank
Haas Hall Academy	3155 NORTH COLLEGE AVE FAYETTEVILLE AR 72703 	36.108413	-94.145822	115
W.T. Woodson High School	9525 MAIN ST FAIRFAX VA 22031 	38.8412586	-77.2731522	116
South Side High School	140 SHEPHERD ST ROCKVILLE CENTRE NY 11570 	40.667228	-73.6217874	117
Oakton High School	2900 SUTTON RD VIENNA VA 22181 	38.8774237	-77.2822272	118
Harmony Science	WELLS BRANCH PARKWAY WEST PFLUGERVILLE TX 78660 	30.4285625	-97.6454174	119
Cold Spring Harbor High School	82 TURKEY LN COLD SPRING HARBOR NY 11724 	40.8672694	-73.4516527	120
Horace Greeley High School	70 ROARING BROOK RD CHAPPAQUA NY 10514 	41.174439	-73.755066	121
City Honors School at Fosdick-​Masten Park	186 EAST NORTH ST BUFFALO NY 14204 	42.9022605	-78.8608718	122
Garden City High School	170 ROCKAWAY AVE GARDEN CITY NY 11530 	40.7309304	-73.6511644	123
YES Prep Southeast	353 CRENSHAW HOUSTON TX 77034 	29.6383359	-95.2093449	124
Bellevue High School	10416 WOLVERINE WAY BELLEVUE WA 98004 	47.6041425	-122.1987031	125
Whitney M. Young Magnet High School	211 SOUTH LAFLIN ST CHICAGO IL 60607 	41.87867	-87.6641269	126
Merrol Hyde Magnet School	128 TOWNSHIP DR HENDERSONVILLE TN 37075 	36.3239469	-86.625868	127
Bethesda-​Chevy Chase High School	4301 EASTWEST HWY BETHESDA MD 20814 	38.986537	-77.0885056	128
Eleanor Roosevelt High School	411 EAST 76TH ST NEW YORK NY 10021 	40.770282	-73.953267	129
Advanced Math & Science Academy Charter School	201 FOREST ST MARLBOROUGH MA 01752 	42.3325028	-71.5772446	130
Campolindo High School	300 MORAGA RD MORAGA CA 94556 	37.8678889	-122.1252001	131
Dover-​Sherborn High School	9 JUNCTION ST DOVER MA 02030 	42.2170567	-71.3225609	132
Manhasset Secondary School	200 MEMORIAL PLACE MANHASSET NY 11030 	40.7944808	-73.6999583	133
Indian Hill High School	6865 DRAKE RD CINCINNATI OH 45243 	39.1861678	-84.3448929	134
Metro Academic and Classical High School	4015 MCPHERSON AVE ST LOUIS MO 63108 	38.641042	-90.243514	135
Lynbrook High School	1280 JOHNSON AVE SAN JOSE CA 95129 	37.3018475	-122.006027	136
Coral Reef Senior High School	10101 SW 152ND ST MIAMI FL 33157 	25.6312989	-80.356467	137
Haynes Academy School For Advanced Stud	1416 METAIRIE RD METAIRIE LA 70005 	29.986693	-90.140355	138
Salem Academy Charter School	45 CONGRESS ST SALEM MA 01970 	42.5178288	-70.8893507	139
Piedmont High School	800 MAGNOLIA AVE PIEDMONT CA 94611 	37.8234908	-122.2329558	140
The Vanguard School	1832 SOUTH WAHSATCH COLORADO SPRINGS CO 80906 	38.8074705	-104.8190765	141
Savannah Arts Academy	500 WASHINGTON AVE SAVANNAH GA 31405 	32.046004	-81.092883	142
Marc & Eva Stern Math and Science School	5151 STATE UNIVERSITY DR LOS ANGELES CA 90032 	34.0642088	-118.169919	143
Westwood High School	12400 MELLOW MEADOW DR AUSTIN TX 78750 	30.4564688	-97.7976	144
Herricks High School	100 SHELTER ROCK RD NEW HYDE PARK NY 11040 	40.7600443	-73.6656276	145
Middlesex County Academy	100 TECHNOLOGY DR EDISON NJ 08837 	40.5061929	-74.3706222	146
Saratoga High School	20300 HERRIMAN AVE SARATOGA CA 95070 	37.266336	-122.0296534	147
South Texas Business Education & Technology Academy	510 SOUTH SUGAR RD EDINBURG TX 78539 	26.3026216	-98.178477	148
The Bromfield School	14 MASSACHUSETTS AVE HARVARD MA 01451 	42.4971306	-71.5825769	149
IDEA Academy and College Preparatory School	401 SOUTH 1ST ST DONNA TX 78537 	26.1677107	-98.0639127	150
Health Careers High School	4646 HAMILTON WOLFE SAN ANTONIO TX 78229 	29.520113	-98.577509	151
Olentangy Liberty High School	3584 HOME RD POWELL OH 43065 	40.200815	-83.0991389	152
Westlake High School	4100 WESTBANK DR AUSTIN TX 78746 	30.276639	-97.813041	153
La Canada High School	4463 OAK GROVE DR LA CANADA CA 91011 	34.189707	-118.178902	154
New World School Of The Arts	25 NE 2ND ST MIAMI FL 33132 	25.776339	-80.193213	155
Palos Verdes Peninsula High School	27118 SILVER SPUR RD ROLLING HILLS ESTATES CA 90274 	33.7786231	-118.3740654	156
Lehigh Valley Academy Reg Charter School	1560 VALLEY CENTER PARKWAY BETHLEHEM PA 18017 	40.654475	-75.41001	157
Telluride High School	725 WEST COLORADO AVE TELLURIDE CO 81435 	37.941249	-107.819537	158
Academy for Allied Health Sciences	1776 RARITAN RD SCOTCH PLAINS NJ 07076 	40.6180489	-74.3570405	159
Bexley High School	326 SOUTH CASSINGHAM RD BEXLEY OH 43209 	39.9628935	-82.9307925	160
Friday Harbor High School	45 BLAIR FRIDAY HARBOR WA 98250 	48.5344802	-123.0203667	161
West Windsor-​Plainsboro High School South	346 CLARKSVILLE RD PRINCETON JCT NJ 08550 	40.306662	-74.619527	162
Wellesley High School	50 RICE ST WELLESLEY MA 02481 	42.302802	-71.279079	163
Leon M. Goldstein High School for the Sciences	1830 SHORE BLVD BROOKLYN NY 11235 	40.5808957	-73.9351412	164
River Hill High School	12101 ROUTE 108 CLARKSVILLE MD 21029 	39.2174975	-76.9315059	165
New Explorations Into ScienceTechnology and Math High School	111 COLUMBIA ST NEW YORK NY 10002 	40.7194927	-73.9791505	166
Torrey Pines High	3710 DEL MAR HEIGHTS RD SAN DIEGO CA 92130 	32.9578306	-117.2267587	167
Hastings High School	1 MT HOPE BLVD HASTINGS ON HUDSON NY 10706 	40.9928394	-73.8756891	168
duPont Manual High School	120 WEST LEE ST LOUISVILLE KY 40208 	38.2232319	-85.7583921	169
Briarcliff High School	444 PLEASANTVILLE RD BRIARCLIFF MANOR NY 10510 	41.137132	-73.8121278	170
South Texas Academy of Medical Technology	151 SOUTH HELEN MOORE RD SAN BENITO TX 78586 	26.1554262	-97.6613823	171
Community Charter Early College High School	11500 ELDRIDGE AVE LAKEVIEW TERRACE CA 91342 	34.279944	-118.38217	172
Miramonte High School	750 MORAGA WAY ORINDA CA 94563 	37.8407058	-122.1448959	173
Northwest Pennsylvania Collegiate Academy	2825 STATE ST ERIE PA 16508 	42.110899	-80.072016	174
D'Evelyn Junior/​Senior High School	10359 WEST NASSAU AVE DENVER CO 80235 	39.6423058	-105.1146159	175
Durham School Of The Arts	400 NORTH DUKE ST DURHAM NC 27701 	36.0023944	-78.9063212	176
Mystic Valley Regional Charter School	770 SALEM ST MALDEN MA 02148 	42.4338873	-71.0436171	177
Academy of Allied Health and Science	2325 HECK AVE NEPTUNE NJ 07753 	40.214474	-74.037914	178
San Marino High School	2701 HUNTINGTON DR SAN MARINO CA 91108 	34.126075	-118.098774	179
Cypress Bay High School	18600 VISTA PARK BLVD WESTON FL 33332 	26.065511	-80.397521	180
Deerfield High School	1959 WAUKEGAN RD DEERFIELD IL 60015 	42.187212	-87.854206	181
University High School	4771 CAMPUS DR IRVINE CA 92612 	33.6513036	-117.8226017	182
Elizabeth High School	600 PEARL ST ELIZABETH NJ 07202 	40.66032	-74.211686	183
Magnolia Science Academy -​ 1 Reseda	18238 SHERMAN WAY RESEDA CA 91335 	34.200718	-118.530521	184
Adlai E. Stevenson High School	1 STEVENSON DR LINCOLNSHIRE IL 60069 	42.1984838	-87.9455833	185
Canyon Crest Academy	5951 VILLAGE CENTER LOOP RD SAN DIEGO CA 92130 	32.9590757	-117.1894334	186
Clayton High School	1 MARK TWAIN CIRCLE CLAYTON MO 63105 	38.6496289	-90.344622	187
Ridgewood High School	627 EAST RIDGEWOOD AVE RIDGEWOOD NJ 07451 	40.977754	-74.105593	188
Carrboro High School	201 ROCK HAVEN DR CARRBORO NC 27510 	35.8918717	-79.0837	189
Fort Worth Academy of Fine Arts	3901 SOUTH HULEN ST FORT WORTH TX 76109 	32.690947	-97.393649	190
Academy For Information Technology	1776 RARITAN RD SCOTCH PLAINS NJ 07076 	40.6180489	-74.3570405	191
Chatham High School	255 LAFAYETTE AVE CHATHAM NJ 07928 	40.731305	-74.4000329	192
Belmont High School	221 CONCORD AVE BELMONT MA 02478 	42.394343	-71.164215	193
Syosset Senior High School	70 SOUTH WOODS RD SYOSSET NY 11791 	40.8291206	-73.4835744	194
Brighton High School	1150 WINTON RD SOUTH ROCHESTER NY 14618 	43.1220448	-77.5680752	195
Duxbury High School	130 ST GEORGE ST DUXBURY MA 02332 	42.0489317	-70.6795948	196
Lake Braddock Secondary School	9200 BURKE LAKE RD BURKE VA 22015 	38.8035315	-77.2658405	197
Yarmouth High School	286 WEST ELM ST YARMOUTH ME 04096 	43.794564	-70.193444	198
Redwood High	395 DOHERTY DR LARKSPUR CA 94939 	37.936813	-122.5239205	199
Ridge High School	268 SO FINLEY AVE BASKING RIDGE NJ 07920 	40.6941942	-74.5470233	200
Briar Woods High	22525 BELMONT RIDGE RD ASHBURN VA 20148 	38.993476	-77.531048	201
Columbus High School	1700 CHEROKEE AVE COLUMBUS GA 31906 	32.4794796	-84.9633433	202
Francisco Bravo Medical Magnet High School	1200 NORTH CORNWELL ST LOS ANGELES CA 90033 	34.0573294	-118.2039056	203
Lexington High School	251 WALTHAM ST LEXINGTON MA 02421 	42.444643	-71.23415	204
Chagrin Falls High School	400 EAST WASHINGTON ST CHAGRIN FALLS OH 44022 	41.429004	-81.379359	205
Loudoun Valley High	340 NORTH MAPLE AVE PURCELLVILLE VA 20132 	39.140962	-77.700339	206
West Springfield High School	6100 ROLLING RD SPRINGFIELD VA 22152 	38.785941	-77.241411	207
Westview High School 	13500 CAMINO DEL SUR SAN DIEGO CA 92129 	32.9670242	-117.1483574	208
Troy High School	2200 EAST DOROTHY LN FULLERTON CA 92831 	33.8809579	-117.8931886	209
Downtown College Preparatory	1460 THE ALAMEDA SAN JOSE CA 95126 	37.3340752	-121.9139598	210
Wyomissing Area Junior/​Senior High School	630 EVANS AVE WYOMISSING PA 19610 	40.324798	-75.969992	211
Fairfax High School	3501 REBEL RUN FAIRFAX VA 22030 	38.860202	-77.287263	212
Severna Park High School	60 ROBINSON RD SEVERNA PARK MD 21146 	39.077336	-76.5598459	213
La Jolla High School	750 NAUTILUS ST LA JOLLA CA 92037 	32.8333966	-117.2744824	214
International School of the Americas	1400 JACKSON KELLER RD SAN ANTONIO TX 78213 	29.506417	-98.515554	215
Foothill Technology High School	100 DAY RD VENTURA CA 93003 	34.2781286	-119.2268144	216
